substance,density,temperature,pore_size,mean_a1,mean_a2,error_a1,error_a2
C1,86.155847,600.0,120.0,-0.2361854755591166,-0.0082169877704287,6.117261760371862e-05,0.0001787673881737
C1,105.18310799999998,600.0,120.0,-0.2906593439629854,-0.00865224576377,6.533808061481927e-05,0.0001929717549711
C1,124.240584,600.0,120.0,-0.3462897900294264,-0.0092524198114578,8.068647176827392e-05,0.0002504464786484
C1,143.29063300000004,600.0,120.0,-0.4025646029564357,-0.0097100390917828,8.431139430785781e-05,0.000271547858326
C1,162.328273,600.0,120.0,-0.4596271430886283,-0.0108178000389133,0.0001152829664623,0.0003834419108065
C1,181.317656,600.0,120.0,-0.5171405332384084,-0.010365603704749,9.078131050642604e-05,0.00029289483664
C1,200.429363,600.0,120.0,-0.5754321078039472,-0.0111570138883264,0.0001003258793502,0.0003286275618484
C1,219.381824,600.0,120.0,-0.6333016792510152,-0.0116493433745558,0.0001084770349172,0.0003628190417768
C1,238.47538899999995,600.0,120.0,-0.6153608730675834,-0.0105138851243802,9.786643561638774e-05,0.0003143907092829
C1,257.52291400000007,600.0,120.0,-0.6905981959702189,-0.0116178376858583,8.964686860423928e-05,0.0003177533075139
C1,276.588954,600.0,120.0,-0.7578078855980219,-0.0121369483851557,9.122924155486842e-05,0.0003130454993279
C1,295.467631,600.0,120.0,-0.8317495763236721,-0.01357043329251,9.383344086822392e-05,0.0003575621867299
C1,314.681955,600.0,120.0,-0.9011419328953506,-0.0146754819194208,0.0001459435073024,0.0005683867927264
C1,333.753091,600.0,120.0,-0.9762733960635228,-0.0164914617129082,0.0001336947592184,0.0005684520054417
C1,352.63600899999994,600.0,120.0,-1.0301041972307197,-0.0172612624005924,0.0001359864759022,0.0005660031745727
C1,371.642675,600.0,120.0,-1.0817538891761087,-0.0177884243790654,0.0001775959841846,0.0007528860078305
C1,390.912804,600.0,120.0,-1.132916938152266,-0.0183106855040007,0.0001695939114196,0.0007347493747805
C2,29.033193999999995,600.0,30.0,-0.1047041262583263,-0.0120599478222556,0.0001167424950106,0.0002862711997795
C2,48.07231000000001,600.0,30.0,-0.1752658351260908,-0.0177070978980316,0.0001246391716237,0.000383675983467
C2,67.10429099999999,600.0,30.0,-0.2460014164277112,-0.0225302503794035,0.0001461102819633,0.0005038564827904
C2,86.137064,600.0,30.0,-0.3188260186559895,-0.0261015359637177,0.0001625819405463,0.0006053022781244
C2,105.17604400000002,600.0,30.0,-0.3928250094009953,-0.028570591225397,0.000200404776281,0.000759079318023
C2,124.21423499999996,600.0,30.0,-0.4694020217786606,-0.030042567247172,0.0001918387735032,0.00077950316504
C2,143.242156,600.0,30.0,-0.5478702336890228,-0.0296365533880851,0.0001661321919647,0.0006332240087101
C2,162.27865100000002,600.0,30.0,-0.6296569147706288,-0.0310620742556445,0.0001774818500381,0.0007094583135221
C2,181.29680000000005,600.0,30.0,-0.7136949727683671,-0.0301723725744847,0.0001942420502948,0.0007714257513371
C2,200.337797,600.0,30.0,-0.8017419201896597,-0.0295638139680568,0.0001654404763531,0.0006319191954699
C2,219.37560399999995,600.0,30.0,-0.8920250365115986,-0.0293155699089924,0.0001855911390596,0.0007343459189753
C2,238.41180900000003,600.0,30.0,-0.9848477884093444,-0.0277753684526865,0.0001689926079179,0.0006194480624254
C2,257.482548,600.0,30.0,-1.0805591191536732,-0.0279522720736435,0.0002007961707065,0.0007712659551098
C2,276.50126999999986,600.0,30.0,-1.1781004141214773,-0.0283323283942343,0.0001702842420874,0.0006353321912655
C2,295.468074,600.0,30.0,-1.2776290452233514,-0.0273651960054351,0.0001889537253002,0.0007017434365468
C2,314.48998300000005,600.0,30.0,-1.3791168274797698,-0.0268903018686097,0.0001629723291553,0.0006086996415625
