substance,density,temperature,pore_size,mean_a1,mean_a2,error_a1,error_a2
C2,181.29680000000005,600.0,30.0,-0.7643654345785001,-0.0353530280829494,0.0002019690081699,0.0008642686106445
C2,200.337797,600.0,30.0,-0.8616609269971575,-0.0354483185236935,0.0001800259917782,0.0007722625857879
C2,219.37560399999995,600.0,30.0,-0.9626149892043796,-0.0339153237773914,0.0002267879910135,0.0009274508239231
C2,238.41180900000003,600.0,30.0,-1.067708689865735,-0.0318146713151727,0.0001730860872263,0.0006806445483089
C2,257.482548,600.0,30.0,-1.1762261641658176,-0.0300142505531697,0.0001725032420867,0.0006518931083551
C2,276.50126999999986,600.0,30.0,-1.288090603523954,-0.0291728156739673,0.0001696549357688,0.0006443383466785
C2,295.468074,600.0,30.0,-1.4034835949728062,-0.0285601445395092,0.0001829745941302,0.000676291167065
C2,314.48998300000005,600.0,30.0,-1.5214763939017584,-0.0259700996312396,0.0001829682388195,0.0006385378673582
C2,333.5321869999999,600.0,30.0,-1.6434383996266766,-0.0245284825679111,0.0001726004848846,0.0006229772092747
C2,352.609262,600.0,30.0,-1.6746182225082913,-0.0239368944229635,0.0001624200164672,0.0005441646502818
C2,371.637273,600.0,30.0,-1.7966914885421903,-0.021903267855339,0.0001605938245018,0.0005245741567483
C2,390.7197159999999,600.0,30.0,-1.9231404450039435,-0.0213262430664419,0.0001884568286832,0.0006185797428167
C2,29.033193999999995,600.0,120.0,-0.1219769559330116,-0.0185265556996575,0.0001270761874917,0.000376068450313
C2,48.06500300000001,600.0,120.0,-0.1931631487412896,-0.0258371985266079,0.0001713777937581,0.0006341042023181
C2,67.10429099999999,600.0,120.0,-0.2654092733044486,-0.0305535784073915,0.000194063822261,0.0007505640547952
C2,86.11953999999999,600.0,120.0,-0.3395551754864934,-0.0342070440003543,0.000192074989211,0.0008215408498954
C2,105.15239999999996,600.0,120.0,-0.4168309753508835,-0.0347453772762029,0.0001987925215033,0.0008554372076911
C2,124.18388899999997,600.0,120.0,-0.4971493932316205,-0.0383660620785338,0.0002010191672592,0.0008831296715046
C2,143.242156,600.0,120.0,-0.5812696684711242,-0.0382528749063042,0.0002167327124359,0.0009301681547807
C2,162.233338,600.0,120.0,-0.6687052391417124,-0.0372511996745308,0.000227780413254,0.0009603984692361
C2,181.35033100000007,600.0,120.0,-0.753505333592122,-0.0369330822410384,0.000243603415953,0.0010776941242793
C2,200.39998000000003,600.0,120.0,-0.853345946757957,-0.0376498050623777,0.0002197140546297,0.0009413691109463
C2,219.30438300000003,600.0,120.0,-0.9500909447911648,-0.0344630735473506,0.0002312728218843,0.0009715360268029
C2,238.41180900000003,600.0,120.0,-1.0499831118138727,-0.0332517645918202,0.0002071145085101,0.0008416458084814
C2,257.391989,600.0,120.0,-1.1529203825282377,-0.031109242076974,0.00020128842965,0.000793149968502
C2,276.50126999999986,600.0,120.0,-1.2589287224121632,-0.0294155780825342,0.0002241756087187,0.0008943195059011
C2,295.57945600000005,600.0,120.0,-1.367504745250176,-0.0275217716783645,0.0001817807589432,0.0006588326235938
C2,314.48998300000005,600.0,120.0,-1.4772562293845537,-0.025153469234174,0.0001889322279526,0.0006695855222689
C2,333.665774,600.0,120.0,-1.5917355712610286,-0.023991886603562,0.0001927005371051,0.0006725337154978
C2,352.609262,600.0,120.0,-1.7067507570651292,-0.0223768508095752,0.0001816938181041,0.0005943809746498
C2,371.637273,600.0,120.0,-1.823584693734559,-0.0188049854455487,0.0001403788362674,0.000430471434186
C2,390.5504449999999,600.0,120.0,-1.9415655246384635,-0.0170226299416124,0.0001750573518154,0.0005022770679464
C3,10.001029,600.0,30.0,-0.0408525002335238,-0.0078820770654827,0.0001593697939647,0.0002555098201997
C3,29.03376000000001,600.0,30.0,-0.1228193479167105,-0.0205244094396703,0.0002246709852687,0.0005769369105641
C3,48.068215,600.0,30.0,-0.2092010314057752,-0.0329474658687958,0.0002276715047335,0.0007709011362556
C3,67.101817,600.0,30.0,-0.2970643918241166,-0.0418762742662023,0.0003115196208532,0.0011786201294744
C3,86.129513,600.0,30.0,-0.3851951331796701,-0.0512746314343659,0.0003113343167513,0.0012907367760608
C3,105.18191900000002,600.0,30.0,-0.4746402913851916,-0.0595684386308056,0.0002785078241788,0.0012819717795334
C3,124.21101900000002,600.0,30.0,-0.5651328612240725,-0.0630150911780834,0.0002689269047526,0.0012831578290759
C3,143.222544,600.0,30.0,-0.6592745597830326,-0.0651684573879102,0.0003270906302908,0.0015756697958358
C3,162.251569,600.0,30.0,-0.7571714767850721,-0.0637259595738512,0.0003358832318239,0.0016031051927398
C3,181.312984,600.0,30.0,-0.8589085601460339,-0.0656923186682178,0.0003472108631826,0.0017233282104011
C3,200.33512,600.0,30.0,-0.9659375495613364,-0.0636681255558161,0.0003227776379386,0.0015142373293444
C3,219.3887100000001,600.0,30.0,-1.0782484223083666,-0.061077966650566,0.0003093729698414,0.001433992384526
C3,238.40207400000008,600.0,30.0,-1.1951730570652064,-0.057200903985145,0.0003061386966969,0.0013452830826643
C3,257.47702800000013,600.0,30.0,-1.3196699056635048,-0.0554253006808793,0.0002843527837134,0.0012612711660185
C3,276.43313899999987,600.0,30.0,-1.4469520365241806,-0.053450174398954,0.0003157934296653,0.0014186385704409
C3,295.463189,600.0,30.0,-1.5795552288199837,-0.0515374946670608,0.0002731695673728,0.0011562017411959
C3,314.587388,600.0,30.0,-1.7185620781760629,-0.048838738013452,0.0002568318561384,0.0010420430321702
C3,371.69557799999984,600.0,30.0,-1.9197572134261884,-0.0387384384090047,0.0002566520954283,0.0009480060885519
C3,390.691938,600.0,30.0,-2.089241486450496,-0.0384816809601232,0.0002349968643848,0.000865926803975
C3,10.001029,600.0,120.0,-0.0678177871198287,-0.0140910603516738,0.0001686867126531,0.0003771239390515
C3,29.037145,600.0,120.0,-0.1644425525459724,-0.0363945591359497,0.0002350106996056,0.0008669619225173
C3,48.075428,600.0,120.0,-0.2431303836958205,-0.0494705078910018,0.0002730750911863,0.0010918751443722
C3,67.11371299999999,600.0,120.0,-0.3198624218690669,-0.0544852120518804,0.0003144241098041,0.0013982037560302
C3,86.14681199999998,600.0,120.0,-0.3985609548823443,-0.0602420626455384,0.0003012697080083,0.0013870703758942
C3,105.18191900000002,600.0,120.0,-0.4820174762785356,-0.0640888091694411,0.0002899820127971,0.001383862921498
C3,124.18106800000004,600.0,120.0,-0.5690406493588557,-0.066226417019567,0.0003565608164705,0.0016076309939784
C3,143.25964100000004,600.0,120.0,-0.6614700938305637,-0.0645090463117973,0.0003799194335473,0.0018220110761931
C3,162.251569,600.0,120.0,-0.7576608462749292,-0.0652529132498802,0.0003434860915808,0.001684277336775
C3,181.312984,600.0,120.0,-0.8583154231682921,-0.0666733419892927,0.0003374188107787,0.0017013454978702
C3,200.33512,600.0,120.0,-0.9638409958276436,-0.064343762217098,0.0003726197130146,0.001724415268999
C3,219.3887100000001,600.0,120.0,-1.0736769987525243,-0.0632946939562584,0.0003450318413827,0.0016193498577778
C3,238.40207400000008,600.0,120.0,-1.187844212549925,-0.0596077740073015,0.0003157110026829,0.0014203318304684
C3,295.573119,600.0,120.0,-1.3360540525101174,-0.0498714825638376,0.0002663904012613,0.0011710009773796
C3,314.46668300000005,600.0,120.0,-1.4464451979318491,-0.0509372802039687,0.0003188954178808,0.0013427365990594
C3,333.64331000000004,600.0,120.0,-1.590204528700483,-0.0463518858185861,0.0003727130558862,0.0014966790412085
C3,352.61455500000005,600.0,120.0,-1.796581323419009,-0.0421947515914282,0.0002850264777135,0.0011129225701466
C3,371.69557799999984,600.0,120.0,-1.945821310998317,-0.0394244427266301,0.0002699170858999,0.0010176320751336
C3,390.691938,600.0,120.0,-2.0844270611493574,-0.0359651536074427,0.00028586592667,0.0010427184928476
C4,29.036161,600.0,30.0,-0.1327413522531126,-0.0264829681058005,0.0003289780046671,0.0008961668113857
C4,48.069494,600.0,30.0,-0.2298272760957717,-0.0423545954498234,0.000337025558746,0.0011101375863106
C4,67.11385399999998,600.0,30.0,-0.3320590439543717,-0.057081034503948,0.0003689441000772,0.0013106053775336
C4,86.134762,600.0,30.0,-0.4339632594222752,-0.0667749188951615,0.0004280559462063,0.0018127443167337
C4,105.16779999999996,600.0,30.0,-0.5366437886109352,-0.0780760936181836,0.0004791499975608,0.0021577866137552
C4,124.20366599999996,600.0,30.0,-0.6381707325472371,-0.0910348383769593,0.0004349943568576,0.0020965513201868
C4,143.24878600000005,600.0,30.0,-0.7400461234749431,-0.0996226791992233,0.0005278062183157,0.002582992397085
C4,162.277048,600.0,30.0,-0.8451093143379712,-0.0987523017564911,0.0006171807826269,0.0030984979249836
C4,181.32344400000005,600.0,30.0,-0.9556051378568664,-0.0975586023034596,0.0004210388160282,0.0020764909788263
C4,200.34203400000004,600.0,30.0,-1.0708002867711088,-0.0973293045551167,0.0005424086044238,0.0026023923059935
