substance,density,temperature,mean_a1,mean_a2,error_a1,error_a2
C2,333.66577400000006,600.0,-1.4791467074473093,-0.0228326547205875,0.0002364318826853,0.0007828262064114
C2,352.609262,600.0,-1.5771910683925072,-0.0218525155795303,0.000197284292125,0.0006625639471492
C2,371.637273,600.0,-1.6766538976432133,-0.0219529361045344,0.0002497097790297,0.0008044412148001
C2,390.550445,600.0,-1.7755234338473542,-0.020744438965155,0.0002266284215288,0.0007704913895309
C3,29.031721,600.0,-0.1162143300858504,-0.015925520734689,0.000168470936316,0.0003901483750606
C3,48.06974600000001,600.0,-0.195716921375341,-0.0264568313295625,0.000271857354316,0.0008026104804046
C3,67.10879399999999,600.0,-0.2791154941126663,-0.0316111061418213,0.0003264744511717,0.0010547180202861
C3,86.15172299999998,600.0,-0.3643948596573965,-0.0391828560690038,0.0003020544492479,0.0011657838114147
C3,105.152603,600.0,-0.4534643380229599,-0.0439805425420175,0.000426059850226,0.001614462561879
C3,124.19102500000002,600.0,-0.5441569247010953,-0.0463257947178619,0.0004229823542686,0.0017365919126646
C3,143.21098099999998,600.0,-0.6390116260157169,-0.0464282048280637,0.000411726079695,0.0016101658232484
C3,162.28868000000006,600.0,-0.7368624133950563,-0.0507751941160382,0.0003114841793691,0.0012927334315101
C3,181.275387,600.0,-0.8376409569558211,-0.0527774589769257,0.0004701471339977,0.001989499530129
C3,200.3689410000001,600.0,-0.9402510738088412,-0.0493731634752594,0.0003806218015566,0.0016408298524818
C3,219.304032,600.0,-1.045670385320442,-0.0516748949761428,0.0004574415715321,0.0018689502474136
C3,276.491516,600.0,-1.3796092027680589,-0.0428840438273245,0.0004267514513465,0.0015906262842507
C3,295.5212590000001,600.0,-1.4954310186323283,-0.0436219012920058,0.0004727139424512,0.0017673668358716
C3,314.6013300000001,600.0,-1.6148163249790972,-0.0404814842459419,0.0003768429942171,0.001389181013846
C3,333.695092,600.0,-1.734115077978281,-0.0374132699003409,0.0003742550810418,0.0013230706549249
C3,352.5228399999999,600.0,-1.8557811349141813,-0.037694642946967,0.0003418510593701,0.0012174205750275
C3,371.718804,600.0,-1.979689215775856,-0.0341963141687514,0.0003590596294427,0.0012079689046904
C3,390.8120049999999,600.0,-2.1049297285509434,-0.0314055480023789,0.0003243996103775,0.0011644361345036
C4,10.001179000000004,600.0,-0.0431198408773871,-0.007794386187174,0.0001456721089985,0.0002276677476232
C4,29.03965,600.0,-0.1279472346082694,-0.0232527020622727,0.000375595257615,0.000907351064205
C4,48.076927,600.0,-0.2170538018128852,-0.0365286606765856,0.0003398161665044,0.0010036684231815
C4,67.10159399999998,600.0,-0.308758352149853,-0.0475952432354675,0.0004866847101232,0.001680847004323
C4,86.15259199999998,600.0,-0.4053645991184877,-0.054996441856039,0.0005015885646244,0.0018777459899678
C4,105.19185599999996,600.0,-0.5046270549726878,-0.0647055005654916,0.0004639222144786,0.0020074579413295
